px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.77588	-13.2754	-2.63304	0.00659731	-1.32929	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.652978
7.68221	-13.3096	-2.5763	0.00728728	-1.23168	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	0.101741
7.53734	-13.2986	-2.5881	-0.063139	-1.23728	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.534692
7.39276	-13.2793	-2.58547	-0.132631	-1.23537	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.00632046
7.23848	-13.2542	-2.60003	-0.203675	-1.23546	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.335447
7.09159	-13.1883	-2.63836	-0.308025	-1.29271	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	0.0460489
6.94863	-13.1479	-2.65965	-0.371235	-1.28742	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.525328
6.81622	-13.0999	-2.65373	-0.432818	-1.27564	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.00230166
6.66419	-13.0446	-2.6787	-0.494664	-1.26348	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.644347
6.55393	-13.0156	-2.59919	-0.510432	-1.18443	6.40137	-13.0799	6.4	-13.05	-2.72678	0	0.110447
6.39792	-12.9699	-2.63328	-0.55141	-1.15606	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.44278
6.27888	-12.9136	-2.60248	-0.589822	-1.12028	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.019757
6.11658	-12.8642	-2.64379	-0.618462	-1.08304	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	2.16294
5.99587	-12.752	-2.71678	-0.707634	-1.13603	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	0.0708683
5.8447	-12.6885	-2.75938	-0.731952	-1.09935	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.26303
5.73934	-12.6191	-2.68797	-0.75571	-1.04432	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	0.0829531
5.58643	-12.5527	-2.71773	-0.772957	-1.00227	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.89732
5.47291	-12.4365	-2.74791	-0.834611	-1.01348	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.00845986
5.31223	-12.3654	-2.78121	-0.840156	-0.961637	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.6388
5.20861	-12.2679	-2.75705	-0.875998	-0.939606	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.00956794
5.0657	-12.1807	-2.77952	-0.888885	-0.900044	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.42601
4.97234	-12.0675	-2.79072	-0.932294	-0.898128	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.00289421
4.85338	-11.983	-2.80171	-0.944176	-0.86519	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.974357
4.76125	-11.8544	-2.81423	-0.991891	-0.866992	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.00167691
4.66959	-11.7294	-2.81723	-1.0315	-0.858821	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0551906
4.60494	-11.6201	-2.74657	-1.06715	-0.840588	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	0.0563678
4.53325	-11.5003	-2.7371	-1.1064	-0.834611	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.272781
4.4415	-11.3316	-2.8866	-1.15672	-0.851707	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	0.254254
4.40332	-11.1871	-2.88626	-1.21358	-0.865906	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.171563
4.39056	-11.0582	-2.78802	-1.27741	-0.88339	4.43713	-11.024	4.45	-11.05	0	1.81614	0.109656
4.3752	-10.9075	-2.77793	-1.34261	-0.900847	4.45136	-10.93	4.45	-10.95	0	1.81612	0.362875
4.35302	-10.7592	-2.76957	-1.39778	-0.907245	4.44745	-10.786	4.45	-10.8	0	2.72555	0.000879812
4.36217	-10.6075	-2.75832	-1.46839	-0.929036	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.603762
4.36112	-10.4612	-2.74625	-1.52644	-0.937816	4.46329	-10.5756	4.45	-10.5	0	2.729	0.00308105
4.3786	-10.3109	-2.74058	-1.59147	-0.951886	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.2598
4.4038	-10.1638	-2.7269	-1.65872	-0.970303	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.00424864
4.45273	-10.0143	-2.72353	-1.734	-0.992501	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.588
4.48402	-9.86993	-2.72359	-1.78836	-0.990772	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.00265326
4.54836	-9.72503	-2.72392	-1.86215	-1.00983	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.491372
4.56151	-9.57284	-2.74432	-1.88068	-0.95919	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	0.0241067
4.64206	-9.43196	-2.74749	-1.95428	-0.979094	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.659897
4.71726	-9.29776	-2.74543	-2.02021	-0.992788	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.00352385
4.82269	-9.15793	-2.76232	-2.09807	-1.01325	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.927849
4.90471	-9.039	-2.76658	-2.1578	-1.02444	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.00091723
4.9955	-8.92889	-2.76827	-2.21644	-1.03118	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.137885
5.06606	-8.8045	-2.76338	-2.24077	-0.984046	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	0.0203572
5.184	-8.67994	-2.78255	-2.30484	-0.990826	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.50087
5.28297	-8.57811	-2.78547	-2.35504	-0.990011	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.000197053
5.39544	-8.47379	-2.80092	-2.40841	-0.991515	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.266633
5.48366	-8.36341	-2.78585	-2.42476	-0.935203	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	0.0282959
5.59084	-8.26261	-2.78116	-2.46993	-0.930165	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.16504
5.66817	-8.14191	-2.76216	-2.46117	-0.843348	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	0.0646752
5.799	-8.034	-2.78364	-2.50632	-0.839495	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.467609
5.89379	-7.92168	-2.76977	-2.50725	-0.772054	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	0.0389929
6.02535	-7.81744	-2.78933	-2.54551	-0.76597	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.422375
6.11798	-7.70396	-2.76894	-2.53368	-0.684836	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	0.0569848
